Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
św. Anny	Giby	św. Anny|16-506 Giby|woj. podlaskie	ełcka	Sejny - św. Kazimierza Królewicza	podlaskie
św. Anny	Smolniki	św. Anny|Smolniki 14|16-405 Smolniki|woj. podlaskie	ełcka	Suwałki - Miłosierdzia Bożego	podlaskie
św. Anny	Bytom	św. Anny|ul. Chorzowska 21|41-902 Bytom|woj. śląskie	gliwicka	Bytom	śląskie
św. Anny	Gliwice Łabędy	św. Anny|ul. Przyszowska 36|44-109 Gliwice Łabędy|woj. śląskie	gliwicka	Gliwice Łabędy	śląskie
św. Anny	Babice, Nędza	św. Anny|ul. Szkolna 24|47-440 Babice, Nędza|woj. śląskie	gliwicka	Kuźnica Raciborska	śląskie
św. Anny	Dziergowice	św. Anny|ul. Kościelna 15|47-244 Dziergowice|woj. opolskie	gliwicka	Kuźnica Raciborska	opolskie
św. Anny	Tarnowskie Góry	św. Anny|ul. Torowa 45|42-600 Tarnowskie Góry|woj. śląskie	gliwicka	Tarnowskie Góry	śląskie
św. Anny	Zabrze	św. Anny|ul. 3-go Maja 18|41-800 Zabrze|woj. śląskie	gliwicka	Zabrze	śląskie
św. Anny	Podlesie Kościelne	św. Anny|Sarbia|62-285 Podlesie Kościelne|woj. wielkopolskie	gnieźnieńska	kłecki	wielkopolskie
św. Anny	Kościeszki	św. Anny|Kościeszki 18|88-324 Kościeszki|woj. kujawsko-pomorskie	gnieźnieńska	kruszwicki	kujawsko-pomorskie
św. Anny	Liszkowo	św. Anny|Liszkowo|88-180 Liszkowo|woj. kujawsko-pomorskie	gnieźnieńska	złotnicki	kujawsko-pomorskie
św. Anny	Błaszki	św. Anny|Pl. Niepodległości 34|98-235 Błaszki|woj. łódzkie	kaliska	błaszkowski	łódzkie
św. Anny	Bralin	św. Anny|ul. Wrocławska 58|63-640 Bralin|woj. wielkopolskie	kaliska	braliński	wielkopolskie
św. Anny	Niedźwiedź	św. Anny|Niedźwiedź Wlkp. 19|63-500 Niedźwiedź|woj. wielkopolskie	kaliska	ostrzeszowski	wielkopolskie
św. Anny	Ochędzyn	św. Anny|Ochędzyn Stary 32|98-420 Ochędzyn|woj. łódzkie	kaliska	wieruszowski	łódzkie
św. Anny	Barcino	św. Anny|Barcino 10|77-232 Barcino|woj. pomorskie	koszlińsko-kołobrzeska	Polanów	pomorskie
św. Anny	Strączno	św. Anny|Strączno 25|78-642 Strączno|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Wałcz	zachodniopomorskie
św. Anny	Kraków	św. Anny|ul. św. Anny 11|31-008 Kraków|woj. małopolskie	krakowska	Kraków-Centrum	małopolskie
św. Anny	Chyżne	św. Anny|Chyżne 157|34-481 Chyżne|woj. małopolskie	krakowska	Jabłonka	małopolskie
św. Anny	Zakrzów	św. Anny|Zakrzów 98|34-145 Zakrzów|woj. małopolskie	krakowska	Kalwaria	małopolskie
św. Anny	Krzyszkowice	św. Anny|Krzyszkowice 14|32-445 Krzyszkowice|woj. małopolskie	krakowska	Mogilany	małopolskie
św. Anny	Straszyna	św. Anny|Stryszawa 394|34-205 Straszyna|woj. małopolskie	krakowska	Sucha Beskidzka	małopolskie
św. Anny	Jasienica	św. Anny|Jasienica 286|32-400 Jasienica|woj. małopolskie	krakowska	Sułkowice	małopolskie
św. Anny	Poznań	św. Anny|ul. Limanowskiego 13|60-744 Poznań|woj. wielkopolskie	poznańska	Poznań-Łazarz	wielkopolskie
św. Anny	Ustrzyki Górne	św. Anny|Ustrzyki Górne 13|38-714 Ustrzyki Górne|woj. podkarpackie	przemyska (łac)	Lutowiska	podkarpackie
św. Anny	Łapczyca	św. Anny|Łapczyca 74|32-744 Łapczyca|woj. małopolskie	tarnowska	Bochnia-Zachód	małopolskie
św. Anny	Żegiestów	św. Anny|33-370 Żegiestów|woj. małopolskie	tarnowska	Piwniczna	małopolskie
św. Anny	Korzeniów	św. Anny|Korzeniów 74b|39-203 Korzeniów|woj. podkarpackie	tarnowska	Pustków-Osiedle	podkarpackie
św. Anny	Wadowice Górne	św. Anny|Wadowice Górne 134|39-308 Wadowice Górne|woj. podkarpackie	tarnowska	Radomyśl Wielki	podkarpackie
św. Anny	Radzyń Chełmiński	św. Anny|ul. Dąbrowskich 33|87-220 Radzyń Chełmiński|woj. kujawsko-pomorskie	toruńska	Radzyń Chełmiński	kujawsko-pomorskie
św. Anny	Słup	św. Anny|Słup 17|86-330 Słup|woj. kujawsko-pomorskie	toruńska	Radzyń Chełmiński	kujawsko-pomorskie
św. Anny	Warszawa	św. Anny|ul. Biedronki 1 a|02-946 Warszawa|woj. mazowieckie	warszawska	Warszawa Wilanów	mazowieckie
św. Anny	Ramułtowice	św. Anny|Ramułtowice 34|55-311 Ramułtowice|woj. dolnośląskie	wrocławska	Kąty Wrocławskie	dolnośląskie
św. Anny	Milicz	św. Anny|ul. Łowiecka 1a|56-300 Milicz|woj. dolnośląskie	wrocławska	Milicz	dolnośląskie
św. Anny	Bąbkowice	św. Anny|ul Główna 76|46-112 Bąbkowice|woj. opolskie	wrocławska	Namysłów-Zachód	opolskie
św. Anny	Wrocław	św. Anny|ul. Sobótki 42|52-433 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Krzyki	dolnośląskie
św. Anny	Szewce	św. Anny|ul. Strzeszowska 46|55-114 Szewce|woj. dolnośląskie	wrocławska	Wrocław-Północ I (Osobowice)	dolnośląskie
św. Anny	Wrocław	św. Anny|ul. Zduńska 8|51-180 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Północ I (Osobowice)	dolnośląskie
św. Anny	Wrocław	św. Anny|ul. Brodzka 163|54-067 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Zachód (Leśnica)	dolnośląskie
św. Anny	Broniszów	św. Anny|Broniszów 29|67-129 Broniszów	zielonogórsko-gorzowska	Kożuchów	
św. Anny	Niegosławice	św. Anny|Niegosławice 52|67-312 Niegosławice|woj. lubuskie	zielonogórsko-gorzowska	Szprotawa	lubuskie
św. Anny	Jordanowo	św. Anny|Jordanowo|66-200 Jordanowo|woj. lubuskie	zielonogórsko-gorzowska	Świebodzin	lubuskie
św. Anny	Szczaniec	św. Anny|66-225 Szczaniec|woj. lubuskie	zielonogórsko-gorzowska	Świebodzin	lubuskie
Św. Anny	Jaktorowo	Św. Anny|Jaktorowo nr 10|64-820 Jaktorowo|woj. wielkopolskie	bydgoska	Kcynia	wielkopolskie
Św. Anny	Drzewianowo	Św. Anny|Drzewianowo|89-115 Drzewianowo|woj. kujawsko-pomorskie	bydgoska	Mrocza	kujawsko-pomorskie
Św. Anny	Kosztowo	Św. Anny|Kosztowo|89-300 Kosztowo|woj. wielkopolskie	bydgoska	Wyrzysk	wielkopolskie
Św. Anny	Krajenka	Św. Anny|ul. Szkolna 1|77-430 Krajenka|woj. wielkopolskie	bydgoska	Złotów II	wielkopolskie
Św. Anny	Kobiele Wielkie	Św. Anny|ul. Reymonta 46|97-524 Kobiele Wielkie|woj. łódzkie	częstochowska	KODRĄBSKI	łódzkie
Św. Anny	Myszków	Św. Anny|ul. Wyzwolenia 56|42-300 Myszków|woj. śląskie	częstochowska	MYSZKOWSKI	śląskie
Św. Anny	Krasna Łąka	Św. Anny|Krasna Łąka 29|82-433 Krasna Łąka|woj. pomorskie	elbląska	DZIERZGOŃ	pomorskie
Św. Anny	Marynowy	Św. Anny|Marynowy 30|82-100 Marynowy|woj. pomorskie	elbląska	NOWY DWÓR GDAŃSKI	pomorskie
Św. Anny	Sztum	Św. Anny|ul. Związku Jaszczurczego 5|82-400 Sztum|woj. pomorskie	elbląska	SZTUM	pomorskie
Św. Anny	Chałupy	Św. Anny|Chałupy ul. Kaperska 30|84-120 Chałupy|woj. pomorskie	gdańska	Morski	pomorskie
Św. Anny	Wejcherowo	Św. Anny|Wejherowo ul. Reformatów 19|84-200 Wejcherowo|woj. pomorskie	gdańska	Wejcherowo	pomorskie
Św. Anny	Kijany	Św. Anny|Kijany|21-077 Kijany|woj. lubelskie	lubelska	Lublin Podmiejski	lubelskie
Św. Anny	Krzyżanowice	Św. Anny|ul. Główna 50|47-450 Krzyżanowice|woj. śląskie	opolska	Tworków	śląskie
Św. Anny	Sabrsk	Św. Anny|Sarbsk 17|84-352 Sabrsk|woj. pomorskie	pelplińska	Łeba	pomorskie
Św. Anny	Smardzewice	Św. Anny|ul. Główna 5|97-213 Smardzewice|woj. łódzkie	radomska	Toamszów Mazowiecki	łódzkie
Św. Anny	Kołaczyce	Św. Anny|ul. Kościelna 5|38-213 Kołaczyce|woj. podkarpackie	rzeszowska	Brzostek	podkarpackie
Św. Anny	Niewodna	Św. Anny|Niewodna|38-124 Niewodna|woj. podkarpackie	rzeszowska	Frysztak	podkarpackie
Św. Anny	Święcany	Św. Anny|Święcany 7|38-242 Święcany|woj. podkarpackie	rzeszowska	Jasło-Zachód	podkarpackie
Św. Anny	Trzęsówka	Św. Anny|Trzęsówka 237|36-106 Trzęsówka|woj. podkarpackie	rzeszowska	Kolbuszowa	podkarpackie
Św. Anny	Ropczyce	Św. Anny|ul. św. Anny 2|39-100 Ropczyce|woj. podkarpackie	rzeszowska	Ropczyce	podkarpackie
Św. Anny	Grodzisk Mazowiecki	Św. Anny|Pl. Króla Zygmunta Starego 2a|05-825 Grodzisk Mazowiecki|woj. mazowieckie	warszawska	Grodzisk Mazowiecki	mazowieckie
Św. Anny	Trutowo	Św. Anny|Trutowo 25|87-620 Trutowo|woj. kujawsko-pomorskie	włocławska	Czernikowo	kujawsko-pomorskie
Św. Anny	KOLNO	Św. Anny|ul.Kościelna 17|18-500 KOLNO|woj. podlaskie	łomżyńska	Kolno	podlaskie
Św. Anny	PIETKOWO	Św. Anny|Pietkowo 52|18-112 PIETKOWO|woj. podlaskie	łomżyńska	Łapy	podlaskie
Św. Anny	DĄBRÓWKA k.OSTROŁĘKI	Św. Anny|Dąbrówka k.Ostrołeki 49|07-402 DĄBRÓWKA k.OSTROŁĘKI|woj. mazowieckie	łomżyńska	Ostrołęka-Nawiedzenia Najświętszej Maryi Panny	mazowieckie
Św. Anny	JELONKI	Św. Anny|Jelonki k.Ostrowi Mazowieckiej 36|07-302 JELONKI|woj. mazowieckie	łomżyńska	Ostrów Mazowiecka-Wniebowzięcia NMP	mazowieckie
Św. Anny	RÓŻAN	Św. Anny|ul.Panny Marii 7|06-230 RÓŻAN|woj. mazowieckie	łomżyńska	Różan	mazowieckie
Św. Anny	RADZIŁÓW	Św. Anny|ul.Kościelna 5|19-213 RADZIŁÓW|woj. podlaskie	łomżyńska	Szczuczyn	podlaskie
Św. Anny	DĄBRÓWKA KOŚCIELNA	Św. Anny|Dąbrówka Kościelna 10|18-210 DĄBRÓWKA KOŚCIELNA|woj. podlaskie	łomżyńska	Szepietowo	podlaskie
Św. Anny	RUTKI KOSSAKI	Św. Anny|ul.Długa 3|18-312 RUTKI KOSSAKI|woj. podlaskie	łomżyńska	Zambrów	podlaskie
Św. Anny	PRZYŁĘK	Św. Anny|Przyłęk ul.Fabryczna 3|57-255 PRZYŁĘK|woj. dolnośląskie	świdnicka	Kamieniec Ząbkowicki	dolnośląskie
Św. Anny	BOBOSZÓW	Św. Anny|Boboszów 27|57-530 BOBOSZÓW|woj. dolnośląskie	świdnicka	Międzylesie	dolnośląskie
Św. Anny	GRODZISZCZE	Św. Anny|Grodziszcze 2|58-112 GRODZISZCZE|woj. dolnośląskie	świdnicka	Świdnica-Zachód	dolnośląskie
Św. Anny	WAŁBRZYCH	Św. Anny|ul.Wieniawskiego 6|58-306 WAŁBRZYCH|woj. dolnośląskie	świdnicka	Wałbrzych-Zachód	dolnośląskie
Św. Anny	ZĄBKOWICE ŚLĄSKIE	Św. Anny|ul.Św. Wojciecha 12|57-200 ZĄBKOWICE ŚLĄSKIE|woj. dolnośląskie	świdnicka	Ząbkowice Śląskie	dolnośląskie
Św. Anny	JELENIA GÓRA-CIEPLICE	Św. Anny|ul. Cieplicka 25/3|58-560 JELENIA GÓRA-CIEPLICE|woj. dolnośląskie	grecko-kat. wrocławsko-gdańska	Wrocław	dolnośląskie
Św. Anny	Rogów	Św. Anny|Rogów|08-307 Rogów|woj. mazowieckie	drohiczyńska	Sokołów Podlaski	mazowieckie
Św. Anny	Sterdyń	Św. Anny|ul. Kościelna 6|08-320 Sterdyń|woj. mazowieckie	drohiczyńska	Sterdyń	mazowieckie
Św. Anny	Lędziny	Św. Anny|ul. Ks. Kontnego 5|43-140 Lędziny|woj. śląskie	katowicka	Bieruń	śląskie
Św. Anny	Bobin	Św. Anny|Bobin 29|32-123 Bobin	kielecka	Proszowice	
Św. Anny	Ząb	Św. Anny|Ząb 18|34-521 Ząb|woj. małopolskie	krakowska	Biały Dunajec	małopolskie
Św. Anny	Prawno	Św. Anny|24-342 Prawno	lubelska	Opole Lubelskie	
Św. Anny	Mołtajny	Św. Anny|Mołtajny 28A|11-412 Mołtajny	warmińska (olsztyńska)	Kętrzyn II	
Św. Anny	Olsztyn	Św. Anny|Morwowa 2|10-337 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn II - Zatorze	warmińsko-mazurskie
Św. Anny	Sokolica	Św. Anny|Sokolica|11-213 Sokolica	warmińska (olsztyńska)	Sępopol	
Św. Anny	Jakubowice	Św. Anny|Jakubowice|48-140 Jakubowice|woj. opolskie	opolska	Branice	opolskie
Św. Anny	Wiechowice	Św. Anny|Al. Jana Pawła II 19|48-140 Wiechowice|woj. opolskie	opolska	Branice	opolskie
Św. Anny	Golczowice	Św. Anny|Golczowice 2|48-250 Golczowice|woj. opolskie	opolska	Głogówek	opolskie
Św. Anny	Maciejowice	Św. Anny|Lasowice 43|48-385 Maciejowice|woj. opolskie	opolska	Paczków	opolskie
Św. Anny	Gamów	Św. Anny|Gamówul. Długa 22|47-411 Gamów|woj. śląskie	opolska	Pietrowice Wielkie	śląskie
Św. Anny	Chałupki	Św. Anny|ul. Nowa 1|47-460 Chałupki|woj. śląskie	opolska	Tworków	śląskie
Św. Anny	Grabowo Kościelne	Św. Anny|ul. Plebania 12|83-403 Grabowo Kościelne|woj. pomorskie	pelplińska	Kościerzyna	pomorskie
Św. Anny	Borzechowo	Św. Anny|ul. Lipowa 4|83-224 Borzechowo|woj. pomorskie	pelplińska	Zblewo	pomorskie
Św. Anny	Hoczew	Św. Anny|Hoczew 71|38-604 Hoczew|woj. podkarpackie	przemyska (łac)	Lesko	podkarpackie
Św. Anny	Radawa	Św. Anny|Radawa 40|37-523 Radawa|woj. podkarpackie	przemyska (łac)	Sieniawa	podkarpackie
Św. Anny	Blichowo	Św. Anny|09-452 Blichowo|woj. mazowieckie	płocka	Bodzanów	mazowieckie
Św. Anny	Nowe Miasto	Św. Anny|ul. Kościelna 18|09-120 Nowe Miasto|woj. mazowieckie	płocka	Nasielsk	mazowieckie
Św. Anny	Skrwilno	Św. Anny|ul. Kościelna 35|87-540 Skrwilno	płocka	Rypin	
Św. Anny	Żałe	Św. Anny|Żałe 28|87-516 Żałe	płocka	Rypin	
Św. Anny	Serock	Św. Anny|ul. Farna 7|05-140 Serock|woj. mazowieckie	płocka	Serock	mazowieckie
Św. Anny	Strzegowo	Św. Anny|ul. Mickiewicza 15|06-445 Strzegowo|woj. mazowieckie	płocka	Strzegowo	mazowieckie
Św. Anny	Kobylniki	Św. Anny|Kobylniki 50|09-455 Kobylniki	płocka	Wyszogród	
Św. Anny	Sławno	Św. Anny|Sławno 66a|26-625 Sławno|woj. mazowieckie	radomska	Radom-Zachód	mazowieckie
Św. Anny	Bedlno	Św. Anny|Bedlno 74|26-200 Bedlno|woj. świętokrzyskie	radomska	Żarnów	świętokrzyskie
Św. Anny	Branew	Św. Anny|Branew 50|23-304 Branew|woj. lubelskie	sandomierska	Janów Lubelski	lubelskie
Św. Anny	Janików	Św. Anny|Janików|27-530 Janików|woj. świętokrzyskie	sandomierska	Ożarów	świętokrzyskie
Św. Anny	Zaklików	Św. Anny|ul. Lubelska 4|37-470 Zaklików|woj. podkarpackie	sandomierska	Zaklików	podkarpackie
Św. Anny	Jeleniec	Św. Anny|Jeleniec 71|21-422 Jeleniec	siedlecka	Łuków II	
Św. Anny	Radzyń Podlaski	Św. Anny|ul. Bł. Męczenników Podlaskich 12|21-300 Radzyń Podlaski|woj. lubelskie	siedlecka	Radzyń Podlaski	lubelskie
Św. Anny	Wohań	Św. Anny|ul. Średnia 36|21-310 Wohań|woj. lubelskie	siedlecka	Radzyń Podlaski	lubelskie
Św. Anny	Tuczna	Św. Anny|Tuczna 18|21-523 Tuczna|woj. lubelskie	siedlecka	Terespol	lubelskie
Św. Anny	Długie	Św. Anny|ul. Długie 9|73-120 Długie|woj. zachodniopomorskie	szczecińsko-kamieńska	Ińsko	zachodniopomorskie
Św. Anny	Długołęka	Św. Anny|Długołęka|72-220 Długołęka|woj. zachodniopomorskie	szczecińsko-kamieńska	Nowogard	zachodniopomorskie
Św. Anny	Jakubów	Św. Anny|Jakubów 18|05-306 Jakubów|woj. mazowieckie	warszawsko-praska	Mińsk Mazowiecki-Narodzenia NMP	mazowieckie
Św. Anny	Kiczki	Św. Anny|Kiczki 15|05-319 Kiczki|woj. mazowieckie	warszawsko-praska	Siennica	mazowieckie
Św. Anny	Długa Kościelna	Św. Anny|ul. Powstania Styczniowego 83|05-074 Długa Kościelna|woj. mazowieckie	warszawsko-praska	Sulejówek	mazowieckie
Św. Anny	Chiojne	Św. Anny|ul. Główna 4|98-210 Chiojne|woj. łódzkie	włocławska	Sieradz I	łódzkie
Św. Anny	Bobrowniki	Św. Anny|ul. Kościelna 3|87-617 Bobrowniki|woj. kujawsko-pomorskie	włocławska	Szpetal Górny	kujawsko-pomorskie
Św. Anny Anny	Wrzeszczewice	Św. Anny Anny|Wrzeszczewice 12|98-100 Wrzeszczewice|woj. łódzkie	łódzka	Karsznice	łódzkie
Św. Anny, Bazylika Mniejsza	Kodeń	Św. Anny, Bazylika Mniejsza|Rynek 1|21-509 Kodeń|woj. lubelskie	siedlecka	Terespol	lubelskie
Św. Anny i Joachima	Gdańsk	Św. Anny i Joachima|Gdańsk Letniewo ul. Sucha 3|80-531 Gdańsk|woj. pomorskie	gdańska	Gdańsk Wrzeszcz	pomorskie
Św. Anny i Najświętszej Maryi Panny Matki Miłosierdzia	Wartkowice	Św. Anny i Najświętszej Maryi Panny Matki Miłosierdzia|ul.Legionów Polskich 2|99-220 Wartkowice|woj. łódzkie	łódzka	Poddębice	łódzkie
Św. Anny i Św. Jadwigi	Dębska Kuźnia	Św. Anny i Św. Jadwigi|ul. Wiejska 43a|46-053 Dębska Kuźnia|woj. opolskie	opolska	Ozimek	opolskie
Św. Anny i Św. Jana Chrzciciela	Końskie	Św. Anny i Św. Jana Chrzciciela|ul. Browarna 28|26-200 Końskie|woj. świętokrzyskie	radomska	Końskie	świętokrzyskie
Św. Anny i Św. Joachima	Suchy Dąb	Św. Anny i Św. Joachima|Suchy Dąb ul. Sportowa 2|83-022 Suchy Dąb|woj. pomorskie	gdańska	Żuławy Steblewskie	pomorskie
Św. Anny i Św. Joachima	Gogolin-Karłubiec	Św. Anny i Św. Joachima|ul. Krapkowicka 102|47-320 Gogolin-Karłubiec|woj. opolskie	opolska	Kamień Śląski	opolskie
św. Antoniego	Gliwice Wójtowa wieś	św. Antoniego|ul. B. Głowackiego 3|44-100 Gliwice Wójtowa wieś|woj. śląskie	gliwicka	Gliwice Ostropa	śląskie
św. Antoniego	Twaróg	św. Antoniego|ul. Kościelna 2|42-690 Twaróg|woj. śląskie	gliwicka	Toszek	śląskie
św. Antoniego	Zabrze	św. Antoniego|ul. Rymera 16|41-800 Zabrze|woj. śląskie	gliwicka	Zabrze	śląskie
św. Antoniego	Ostrów Wlkp.	św. Antoniego|ul. Raszkowska 39|63-400 Ostrów Wlkp.|woj. wielkopolskie	kaliska	ostrowski II	wielkopolskie
św. Antoniego	Miłowice	św. Antoniego|Miłowice 80|56-504 Miłowice|woj. dolnośląskie	kaliska	sycowski	dolnośląskie
św. Antoniego	Osieki	św. Antoniego|ul. Bałtycka 15|76-003 Osieki|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Mielno	zachodniopomorskie
św. Antoniego	Człopa	św. Antoniego|ul. Zwycięstwa Wojska Polskiego 4|78-630 Człopa|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Mirosławiec	zachodniopomorskie
św. Antoniego	Piła	św. Antoniego|ul. Ludowa 20|64-920 Piła|woj. wielkopolskie	koszlińsko-kołobrzeska	Piła	wielkopolskie
św. Antoniego	Wałcz	św. Antoniego|ul. Orla 11|78-600 Wałcz|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Wałcz	zachodniopomorskie
św. Antoniego	Sieniawa	św. Antoniego|Sieniawa 304|34-723 Sieniawa|woj. małopolskie	krakowska	Rabka	małopolskie
św. Antoniego	Zakopane-Bystre	św. Antoniego|Bulwary Słowackiego 33|34-501 Zakopane-Bystre	krakowska	Zakopane	
św. Antoniego	Niedźwiedzice	św. Antoniego|Niedźwiedzice 14|59-225 Niedźwiedzice|woj. dolnośląskie	legnicka	Chojnów	dolnośląskie
św. Antoniego	Biedrzychowice	św. Antoniego|Biedrzychowice 90|59-830 Biedrzychowice|woj. dolnośląskie	legnicka	Gryfów Śląski	dolnośląskie
św. Antoniego	Grabiszyce	św. Antoniego|Grabiszyce 5|59-820 Grabiszyce|woj. dolnośląskie	legnicka	Leśna	dolnośląskie
św. Antoniego	Gierałtów	św. Antoniego|Gierałtów 48|59-733 Gierałtów|woj. dolnośląskie	legnicka	Nowogrodziec	dolnośląskie
św. Antoniego	Toruń	św. Antoniego|ul. św. Antoniego 4|87-100 Toruń|woj. kujawsko-pomorskie	toruńska	Toruń II	kujawsko-pomorskie
św. Antoniego	Wrocław	św. Antoniego|al. Jana Kasprowicza 26|51-161 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Północ I (Osobowice)	dolnośląskie
św. Antoniego	Stare Polichno	św. Antoniego|ul. Zielona 3|66-431 Stare Polichno|woj. lubuskie	zielonogórsko-gorzowska	Gorzów Wielkopolski-Chrystusa Króla	lubuskie
św. Antoniego	Kamień Wielki	św. Antoniego|ul. Kościelna 2|66-461 Kamień Wielki	zielonogórsko-gorzowska	Kostrzyn	
św. Antoniego	Nowa Sól	św. Antoniego|ul. Piłsudskiego 14|67-100 Nowa Sól|woj. lubuskie	zielonogórsko-gorzowska	Nowa Sól	lubuskie
św. Antoniego	Przylep	św. Antoniego|ul. 22 lipca 63|66-015 Przylep|woj. lubuskie	zielonogórsko-gorzowska	Zielona Góra-Ducha Świętego	lubuskie
Św. Antoniego	Rakowiec	Św. Antoniego|ul. Kwidzyńska 26|82-512 Rakowiec	elbląska	KWIDZYN - ZATORZE	
Św. Antoniego	Zgoń	Św. Antoniego|Zgoń ul. Kobiórska 6|43-186 Zgoń|woj. śląskie	katowicka	Orzesze	śląskie
Św. Antoniego	Życzyn	Św. Antoniego|Życzyn|08-452 Życzyn	siedlecka	Łaskarzew	
Św. Antoniego	OLSZEWKA	Św. Antoniego|Olszewka 79|06-334 OLSZEWKA	łomżyńska	Chorzele	
Św. Antoniego	RATAJNO	Św. Antoniego|Ratajno 4|58-210 RATAJNO|woj. dolnośląskie	świdnicka	Dzierżoniów-Północ	dolnośląskie
Św. Antoniego	Brzegi	Św. Antoniego|Brzegiul. Halna 67|34-532 Brzegi|woj. małopolskie	krakowska	Białka Tatrzańska	małopolskie
Św. Antoniego	Braniewo	Św. Antoniego|ul. Królewiecka 24|14-500 Braniewo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Braniewo	warmińsko-mazurskie
Św. Antoniego	Szczepankowo	Św. Antoniego|Szczepankowo 17|14-107 Szczepankowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Grunwald	warmińsko-mazurskie
Św. Antoniego	Sarnowo	Św. Antoniego|Sarnowo|13-124 Sarnowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Kozłowo	warmińsko-mazurskie
Św. Antoniego	Dylaki	Św. Antoniego|ul. Ozimska 56|46-043 Dylaki|woj. opolskie	opolska	Ozimek	opolskie
Św. Antoniego	Sośnica Jarosławska	Św. Antoniego|Sośnica Jarosławska 63|37-555 Sośnica Jarosławska|woj. podkarpackie	przemyska (łac)	Radymno I	podkarpackie
Św. Antoniego	Trąbin	Św. Antoniego|Trąbin 6|87-523 Trąbin	płocka	Dobrzyń n.Drwęcą	
Św. Antoniego	Sarbiewo	Św. Antoniego|Sarbiewo 28|09-104 Sarbiewo|woj. mazowieckie	płocka	Płońsk	mazowieckie
Św. Antoniego	Łukomie	Św. Antoniego|Łukomie 31|09-204 Łukomie|woj. mazowieckie	płocka	Sierpc	mazowieckie
Św. Antoniego	Czerniewice	Św. Antoniego|ul. Św. Sntoniego 18|87-830 Czerniewice|woj. kujawsko-pomorskie	włocławska	Kowal	kujawsko-pomorskie
św. Antoniego Marii Zaccarii	Warszawa	św. Antoniego Marii Zaccarii|ul. Sobieskiego 15|02-930 Warszawa|woj. mazowieckie	warszawska	Warszawa Wilanów	mazowieckie
św. Antoniego Opata	Męcina	św. Antoniego Opata|Męcina 10|34-654 Męcina|woj. małopolskie	tarnowska	Limanowa	małopolskie
Św. Antoniego Opata	Wozławki	Św. Antoniego Opata|Wozławki 49|11-215 Wozławki	warmińska (olsztyńska)	Bartoszyce	
Św. Antoniego Opata	Radziejewo	Św. Antoniego Opata|Radziejewo 19|14-523 Radziejewo	warmińska (olsztyńska)	Pieniężno	
św. Antoniego Padewskiego	Niewodnica	św. Antoniego Padewskiego|Niewodnica Kościelna ul. Kościelna 3|18-106 Niewodnica|woj. podlaskie	białostocka	Białystok Nowe Miasto	podlaskie
św. Antoniego Padewskiego	Sokółka	św. Antoniego Padewskiego|ul. Grodzieńska 47|16-100 Sokółka|woj. podlaskie	białostocka	Sokółka	podlaskie
św. Antoniego Padewskiego	Prostki	św. Antoniego Padewskiego|ul. 1 Maja 65|19-335 Prostki|woj. warmińsko-mazurskie	ełcka	MB Fatimskiej (katedralny)	warmińsko-mazurskie
św. Antoniego Padewskiego	Banie Mazurskie	św. Antoniego Padewskiego|ul. Konopnickiej 57|19-520 Banie Mazurskie|woj. warmińsko-mazurskie	ełcka	Gołdap - NMP Matki Kościoła	warmińsko-mazurskie
św. Antoniego Padewskiego	Górne	św. Antoniego Padewskiego|Górne 6|19-500 Górne|woj. warmińsko-mazurskie	ełcka	Gołdap - NMP Matki Kościoła	warmińsko-mazurskie
św. Antoniego Padewskiego	Inowrocław	św. Antoniego Padewskiego|ul. Kujawska 1|88-100 Inowrocław|woj. kujawsko-pomorskie	gnieźnieńska	inowrocławski I	kujawsko-pomorskie
św. Antoniego Padewskiego	Jarocin	św. Antoniego Padewskiego|ul. Wojska Polskiego 64|63-200 Jarocin|woj. wielkopolskie	kaliska	jarociński	wielkopolskie
św. Antoniego Padewskiego	Roszkowice	św. Antoniego Padewskiego|Roszkowice 19|46-220 Roszkowice|woj. opolskie	kaliska	wołczyński	opolskie
św. Antoniego Padewskiego	Gądkowice	św. Antoniego Padewskiego|Gądkowice 33|56-300 Gądkowice|woj. dolnośląskie	kaliska	zdunowski	dolnośląskie
św. Antoniego Padewskiego	Mścice	św. Antoniego Padewskiego|ul. Kościelna 1|76-031 Mścice|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Mielno	zachodniopomorskie
św. Antoniego Padewskiego	Sławno	św. Antoniego Padewskiego|ul. Kościelna 12|76-100 Sławno|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Sławno	zachodniopomorskie
